datetime_baru,Sentences,score,isEdited,title,Preprocess_Sentences,prob_keyakinan,sentiment,sentences_wordCloud,Topic
2019-11-23 02:38:57,"Ditambahin dong fiturnya seperti bisa lebih mudah untuk melakukan pembayaran online seperti aplikasi kereta api, shopee, link aja dll nya. Biar transaksi online bisa lebih mudah",4,False,Penambahan fitur,ditambahin fiturnya bisa mudah pembayaran online aplikasi kereta api shopee link nya biar transaksi online bisa mudah,0.99997276,positive,ditambahin fiturnya mudah pembayaran online kereta api shopee link nya biar transaksi online mudah,Transaksi Nasabah pada BSI Mobile
2020-11-05 07:23:39,Jika anda sedang bertugas ke luar kota sekarang anda tidak akan bingung lagi kemana arah kiblatnya. Karena anda bisa membukanya melalui ponsel Mandiri Syariah,5,False,Tidak bingung lagi,bertugas kota tidak bingung kemana arah kiblatnya bisa membukanya ponsel mandiri syariat,0.00058928155,negative,bertugas kota bingung kemana arah kiblatnya membukanya ponsel mandiri syariat,Transaksi Nasabah pada BSI Mobile
2022-05-28 07:37:55,"Aplikasi ini bagus banget apalagi setelah diupdate, makin keren, penggunaannya juga mudah. Fiturnya lengkap banget jadi seneng banget deh pakai aplikasinya kalau gini. Mantab BSI semakin hari semakin keren!! Semoga selalu ditingkatkan lagi, dan lancar jaya selalu BSI👏",5,False,Friendly user,aplikasi bagus banget diupdate keren penggunaannya mudah fiturnya lengkap banget senang banget deh pakai aplikasinya mantap bsi keren semoga ditingkatkan lancar jaya bsi keren,0.9999805,positive,bagus banget diupdate keren penggunaannya mudah fiturnya lengkap banget senang banget deh pakai aplikasinya mantap keren semoga ditingkatkan lancar jaya keren,Kenyamanan pada BSI Mobile
2022-06-06 13:12:11,"Setelah diupdate, BSI Mobile fiturnya makin lengkap. Yang paling membantu adalah fitur jadwal sholat dan petunjuk arah kiblat. BSI Mobile kereen. Terus dikembangkan lagi yaa",5,False,Aplikasi yang memudahkan,diupdate bsi mobile fiturnya lengkap membantu fitur jadwal salat petunjuk arah kiblat bsi mobile keren dikembangkan ya,0.9999777,positive,diupdate fiturnya lengkap membantu fitur jadwal salat petunjuk arah kiblat keren dikembangkan ya,Kenyamanan pada BSI Mobile
2023-06-09 15:13:06,Gokillll makin keren aplikasinya apalagi udh update makin mantull bgt 🫶🏼,5,False,Mantul,gokillll keren aplikasinya pembaruan mantull banget,0.99996734,positive,gokillll keren aplikasinya pembaruan mantull banget,Kenyamanan pada BSI Mobile
2023-03-16 08:09:44,"UI nya user friendly, aplikasinya gak lemot lancarr pas transaksi, nyamann banget pakek bsi👍👍👍👍",5,False,Aplikasi BSI mantappp,oi nya pengguna friendly aplikasinya tidak lemot lancarr pas transaksi nyamann banget pakai bsi keren keren keren keren,0.99983525,positive,oi nya pengguna friendly aplikasinya lemot lancarr pas transaksi nyamann banget pakai keren keren keren keren,Kenyamanan pada BSI Mobile
2023-04-10 12:50:18,"Abis di update jadi makin keren ni aplikasinya
 Lancar jaya, mantap lah pokoknyaa 👍👍👍👍
Good job deh BSI
Kalo udah diupdate gini jadi seneng deh pakai aplikasinya
Semoga bisa selalu ditingkatkan lagi yaaa 👍👍👍",5,False,Bsi mantap,habis pembaruan keren nih aplikasinya lancar jaya mantap pokoknyaa keren keren keren keren good job deh bsi kalo diupdate senang deh pakai aplikasinya semoga bisa ditingkatkan ya keren keren keren,0.99998057,positive,habis pembaruan keren nih aplikasinya lancar jaya mantap pokoknyaa keren keren keren keren good job deh kalo diupdate senang deh pakai aplikasinya semoga ditingkatkan ya keren keren keren,BSI Mobile Keren dan Lancar Digunakan
2023-04-04 05:23:07,"Aplikasi ini berguna banget untuk melakukan transaksi secara online, terutama untuk pembayaran jarak jauh. GREAT JOB BSI!! makin lancar jaya dan sukses teruus kedepannyaa!",5,False,sangaat memuaskann🤩,aplikasi berguna banget transaksi online pembayaran jarak great job bsi lancar jaya sukses kedepannyaa,0.9999769,positive,berguna banget transaksi online pembayaran jarak great job lancar jaya sukses kedepannyaa,BSI Mobile Keren dan Lancar Digunakan
2023-03-08 16:08:14,Toppp banget sekarang makin joss aplikasi nya,5,False,Penilaian,toppp banget joss aplikasi nya,0.9763096,positive,toppp banget joss nya,Fitur Lengkap dan Memudahkan Transaksi
2020-06-17 07:53:22,Update NFC untuk iOS dong min. Supaya bisa top-up/update emoney dari perangkat iphone seperti yg lagi booming barusan di App Mandiri Banking. Trims,5,False,NFC iOS,pembaruan nfc ios min bisa top up pembaruan emoney perangkat iphone booming barusan app mandiri banking terima kasih,0.00027810357,negative,pembaruan nfc ios min top up pembaruan emoney perangkat iphone booming barusan app mandiri banking terima kasih,BSI Mobile Susah digunakan dan Sering Eror
2023-06-14 02:28:33,Aplikasi nya mudah di gunakan fiturnya lengkap,5,False,Mantab,aplikasi nya mudah fiturnya lengkap,0.999971,positive,nya mudah fiturnya lengkap,Kenyamanan pada BSI Mobile
2023-06-06 07:52:45,"alhamdulillah sekarang aktivasi bsi mobile di ios lebih mudah dan cepat tidak perlu ke cs lagi. fiturnya juga lengkap, topup ewallet apapun bisa ovo gopay dana linkaja dsb. pembayaran tagihan bpjs, ukt kuliah, beli pulsa, dll semua bisa. notifikasi waktu sholat dan kiblat pun ada. alhamdulillah blm ada kendala apapun selama menggunakan, semoga lebih baik lagi :)",5,False,best terlengkap!,alhamdulillah aktivasi bsi mobile ios mudah cepat tidak rekan fiturnya lengkap top up ewallet apapun bisa ovo gopay dana linkaja pembayaran tagihan badan penyelenggara jaminan sosial ukt kuliah beli pulsa bisa notifikasi salat kiblat alhamdulillah kendala apapun semoga baik,0.9999733,positive,alhamdulillah aktivasi ios mudah cepat rekan fiturnya lengkap top up ewallet apapun ovo gopay dana linkaja pembayaran tagihan badan penyelenggara jaminan sosial ukt kuliah beli pulsa notifikasi salat kiblat alhamdulillah kendala apapun semoga,Transaksi Nasabah pada BSI Mobile
2023-04-24 05:09:40,"Aplikasi yang sangat mempermudah untuk bertransaksi, BSI good job",5,False,BSI KEREN👍🏻,aplikasi mempermudah bertransaksi bsi good job,0.9999743,positive,mempermudah bertransaksi good job,BSI Mobile Keren dan Lancar Digunakan
2023-04-02 07:00:47,"bagus bgt app nya udh upgade, good job bsi! sukses!",5,False,jauza maulida,bagus banget app nya upgade good job bsi sukses,0.9999742,positive,bagus banget app nya upgade good job sukses,BSI Mobile Keren dan Lancar Digunakan
2023-04-02 04:01:19,"Sebagai pengguna baru aplikasi ini cukup mudah dipahami. Dapat melakukan transaksi dimana saja. Selain itu dilengkapi dengan waktu shalat dan arah kiblat, cukup berbeda dengan aplikasi mobile banking pada umumnya. Semoga selalu ditingkatkan fitur"" nya. Mantap dan good job BSI !!!",5,False,Semoga selalu ditingkatkan ya!,pengguna aplikasi mudah dipahami transaksi dimana dilengkapi salat arah kiblat berbeda aplikasi mobile banking semoga ditingkatkan fitur nya mantap good job bsi,0.9999727,positive,pengguna mudah dipahami transaksi dimana dilengkapi salat arah kiblat berbeda banking semoga ditingkatkan fitur nya mantap good job,Fitur Lengkap dan Memudahkan Transaksi
2023-04-02 03:00:14,Wah ternyata memang harus di update ! Karena makin best and makin mempermudah. Terbaik pokoknya. Terbaik banget aplikasinya,5,False,BSI apps terbaik,pembaruan best and mempermudah terbaik pokoknya terbaik banget aplikasinya,0.999972,positive,pembaruan best and mempermudah terbaik pokoknya terbaik banget aplikasinya,Kenyamanan pada BSI Mobile
2023-03-27 08:22:49,Ternyata setelah diupdate jadi makin nyaman pake aplikasinya! Jadi seneng deh pake BSI. Kalo bisa kasi bintang 10 bakalan aku kasi bintang 10 deh!! Good job BSI 👍👍👍,5,False,BSI Keren,diupdate nyaman pakai aplikasinya senang deh pakai bsi bisa kasih bintang kasih bintang deh good job bsi keren keren keren,0.9999806,positive,diupdate nyaman pakai aplikasinya senang deh pakai kasih bintang 10 kasih bintang 10 deh good job keren keren keren,BSI Mobile Keren dan Lancar Digunakan
