topic_no,topic_label,encoding_kata,decoding_kata,kontribusi
0,Transaksi Nasabah pada BSI Mobile,871,bank,9240.454473822876
0,Transaksi Nasabah pada BSI Mobile,9896,syariat,4242.266646707663
0,Transaksi Nasabah pada BSI Mobile,1612,bsi,3266.3424067323817
0,Transaksi Nasabah pada BSI Mobile,3976,indonesia,2883.142299643394
0,Transaksi Nasabah pada BSI Mobile,10506,tidak,2764.8351725134676
0,Transaksi Nasabah pada BSI Mobile,1458,bisa,2268.381458082801
0,Transaksi Nasabah pada BSI Mobile,10940,up,2237.559764564165
0,Transaksi Nasabah pada BSI Mobile,10607,top,2210.1741080696797
0,Transaksi Nasabah pada BSI Mobile,7086,negara,1782.142493683908
0,Transaksi Nasabah pada BSI Mobile,10677,transfer,1609.22847559768
0,Transaksi Nasabah pada BSI Mobile,653,atm,1568.4184513533776
0,Transaksi Nasabah pada BSI Mobile,8966,saldo,1510.8475496951771
0,Transaksi Nasabah pada BSI Mobile,7347,nya,1463.2579790114692
0,Transaksi Nasabah pada BSI Mobile,2074,dana,1102.1361396090037
0,Transaksi Nasabah pada BSI Mobile,7062,nasabah,1097.1834809502004
0,Transaksi Nasabah pada BSI Mobile,10830,uang,1026.7631046166737
0,Transaksi Nasabah pada BSI Mobile,1417,biaya,892.8266361933071
0,Transaksi Nasabah pada BSI Mobile,6604,menu,876.1599148264924
0,Transaksi Nasabah pada BSI Mobile,5230,kurang,836.1818145664934
0,Transaksi Nasabah pada BSI Mobile,7531,pakai,774.9557818307991
0,Transaksi Nasabah pada BSI Mobile,10801,tunai,770.1262588331151
0,Transaksi Nasabah pada BSI Mobile,10654,transaksi,765.5852729559265
0,Transaksi Nasabah pada BSI Mobile,502,aplikasi,733.2073807467091
0,Transaksi Nasabah pada BSI Mobile,7704,pelayanan,731.70835582404
0,Transaksi Nasabah pada BSI Mobile,10591,tolong,698.6239784658935
0,Transaksi Nasabah pada BSI Mobile,7765,pembayaran,690.7361898768903
0,Transaksi Nasabah pada BSI Mobile,6850,mobile,651.429737129915
0,Transaksi Nasabah pada BSI Mobile,10019,tarik,624.9425971055856
0,Transaksi Nasabah pada BSI Mobile,6757,migrasi,604.7873679987149
0,Transaksi Nasabah pada BSI Mobile,779,baik,575.7180117133387
0,Transaksi Nasabah pada BSI Mobile,3271,fitur,557.673754237278
0,Transaksi Nasabah pada BSI Mobile,962,bayar,554.9386616254649
0,Transaksi Nasabah pada BSI Mobile,58,admin,551.4765800853456
0,Transaksi Nasabah pada BSI Mobile,5751,mandiri,545.0444813287284
0,Transaksi Nasabah pada BSI Mobile,8597,rakyat,543.1424152020197
0,Transaksi Nasabah pada BSI Mobile,10008,tapi,541.8344165986356
0,Transaksi Nasabah pada BSI Mobile,875,banking,540.0073422806802
0,Transaksi Nasabah pada BSI Mobile,11130,wallet,530.5996605384765
0,Transaksi Nasabah pada BSI Mobile,7933,pengguna,521.4932645787695
0,Transaksi Nasabah pada BSI Mobile,8830,ribet,511.85759936858466
0,Transaksi Nasabah pada BSI Mobile,9965,tampilan,464.8583463001942
0,Transaksi Nasabah pada BSI Mobile,1823,cek,463.18725822086014
0,Transaksi Nasabah pada BSI Mobile,8713,rekening,452.0205782126357
0,Transaksi Nasabah pada BSI Mobile,8272,pindah,436.10620774347524
0,Transaksi Nasabah pada BSI Mobile,749,bagus,426.026894514971
0,Transaksi Nasabah pada BSI Mobile,7017,mutasi,425.6668160596854
0,Transaksi Nasabah pada BSI Mobile,9583,sistem,419.57702004261915
